Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-2,47-L4-10-20,Wisconsin,47,,6.2,6.32,1.06,1.071,0.536,1.894,0.834,0.221,0.5,0.642,-0.142,7.2,73.6,19.2,Silt,2.8,4.11,5.9,6.9,0.23,1.7,18,47,2,1074,74,209,24,,0,1.8,25,8,8/30/2018,Lancaster,6.6,4,10,20
1-to-2,48-L4-20-40,Wisconsin,48,,6.02,6.21,1.05,1.045,0.523,1.897,0.847,0.189,0.5,0.617,-0.117,8,71.6,20.4,Silt Loam,1.3,4.39,6.1,7,0.14,0.63,10,42,2,1053,98,184,28,,0,0,0,5,8/30/2018,Lancaster,6.6,4,20,40
1-to-2,50-W4-0-28,Wisconsin,50,,6.74,7.02,1.064,0.979,0.49,1.868,0.804,0.179,0.5,0.609,-0.109,34,41.6,24.4,Loam,3.1,4.62,6.9,7.2,0.22,1.99,8,72,2,1841,98,618,54,,0,0,0,9,8/31/2018,West Madison,6.7,4,0,28
1-to-2,51-W4-28-45,Wisconsin,51,,6.7,6.93,1.063,1.044,0.522,1.949,0.886,0.151,0.5,0.589,-0.089,42,29.6,28.4,Clay Loam,1.5,4.74,7,7.2,0.09,0.65,5,65,2,1574,98,669,68,,0,0,0,7,8/31/2018,West Madison,6.7,4,28,45
1-to-2,52-W4-45-55,Wisconsin,52,,6.8,6.94,1.065,1.054,0.527,1.985,0.92,0.127,0.5,0.573,-0.073,65.72580645,17.74193548,16.53225806,Sandy Loam,0.8,5.16,7,7.3,0.1,0.4,10,49,3,816,97,344,67,,0,0,0,3,8/31/2018,West Madison,6.7,4,45,55
1-to-2,53-W5-0-35,Wisconsin,53,,6.43,6.82,1.063,1.017,0.509,1.893,0.83,0.184,0.5,0.613,-0.113,8,65.6,26.4,Silt Loam,3.4,4.27,6.4,6.8,0.23,2.36,32,100,2,1656,77,448,34,,0,2.3,21,11,8/16/2018,West Madison,6.7,5,0,35
1-to-2,54-W5-35-65,Wisconsin,54,,5.98,6.24,1.06,1.019,0.51,1.827,0.767,0.247,0.5,0.664,-0.164,8,63.6,28.4,Silty Clay Loam,4.3,3.99,5.8,6.4,0.26,2.96,12,56,1,1524,50,392,21,,0,7.6,49,16,8/16/2018,West Madison,6.7,5,35,65
1-to-2,55-W7-0-15,Wisconsin,55,,6.07,6.41,1.069,1.003,0.502,1.91,0.841,0.162,0.5,0.596,-0.096,14,61.6,24.4,Silt Loam,2.9,4.35,6,6.9,0.25,2.03,28,71,2,1752,88,517,43,,0,1,10,10,8/16/2018,West Madison,6.7,7,0,15
1-to-2,56-W7-15-30,Wisconsin,56,,5.93,6.14,1.062,0.992,0.496,1.871,0.809,0.184,0.5,0.613,-0.113,4,67.6,28.4,Silty Clay Loam,1.9,4.22,5.6,6.8,0.15,1.04,9,45,1,1365,73,444,39,,0,2.4,26,9,8/16/2018,West Madison,6.7,7,15,30
1-to-2,57-P1-0-30,Wisconsin,57,,6.74,7.04,1.055,1.016,0.508,1.959,0.904,0.11,0.5,0.562,-0.062,64,23.6,12.4,Sandy Loam,1.5,5.04,6.9,7.4,0.12,1.15,78,140,8,843,92,197,35,,0,0,0,4,9/10/2018,Peninsular,7.2,1,0,30
1-to-2,58-P1-30-45,Wisconsin,58,,6.95,7.28,1.065,1.02,0.51,1.989,0.924,0.094,0.5,0.552,-0.052,66,15.6,18.4,Sandy Loam,0.7,5.37,7.1,7.4,0.1,0.33,11,84,6,702,94,217,48,,0,0,0,3,9/10/2018,Peninsular,7.2,1,30,45
1-to-2,59-P1-45-55,Wisconsin,59,,6.84,7.2,1.064,0.982,0.491,1.977,0.913,0.07,0.5,0.538,-0.038,70,17.6,12.4,Sandy Loam,0.5,5.64,7,7.4,0.07,0.17,19,54,5,554,95,165,46,,0,0,0,2,9/10/2018,Peninsular,7.2,1,45,55
1-to-2,60-P2-0-20,Wisconsin,60,,7.31,7.57,1.066,0.954,0.477,1.891,0.825,0.135,0.5,0.578,-0.078,52.8,28.8,18.4,Sandy Loam,2.8,4.75,7.5,7.5,0.18,2.47,12,75,3,1411,97,334,38,,0,0,0,6,9/10/2018,Peninsular,7.2,2,0,20
1-to-2,61-P2-20-45,Wisconsin,61,,7.43,7.27,1.067,1.036,0.518,1.988,0.921,0.111,0.5,0.562,-0.062,54.8,24.8,20.4,Sandy Clay Loam,1.2,5.11,7.6,7.5,0.11,3.31,14,45,2,1176,98,308,42,,0,0,0,5,9/10/2018,Peninsular,7.2,2,20,45
1-to-2,62-P2-45-55,Wisconsin,62,,7.47,7.32,1.06,0.977,0.489,1.971,0.911,0.068,0.5,0.536,-0.036,60.8,26.8,12.4,Sandy Loam,0.5,5.53,7.7,7.6,0.09,5.53,10,35,2,743,98,225,48,,0,0,0,3,9/10/2018,Peninsular,7.2,2,45,55
1-to-2,63-P4-0-25,Wisconsin,63,,7.6,7.45,1.075,1.016,0.508,1.942,0.867,0.147,0.5,0.586,-0.086,50.8,32.8,16.4,Loam,3.1,4.49,7.4,7.4,0.21,2.2,12,53,2,1433,98,359,40,,0,0,0,7,9/10/2018,Peninsular,7.2,4,0,25
1-to-2,64-P4-25-35,Wisconsin,64,,7.65,7.56,1.054,1.019,0.51,1.94,0.886,0.131,0.5,0.575,-0.075,50.8,28.8,20.4,Loam,1.9,4.63,7.5,7.4,0.12,1.56,12,45,2,1378,98,360,42,,0,0,0,6,9/10/2018,Peninsular,7.2,4,25,35
1-to-2,65-P4-35-50,Wisconsin,65,,7.37,7.35,1.067,1.005,0.503,1.975,0.908,0.097,0.5,0.553,-0.053,52.8,32.8,14.4,Sandy Loam,0.9,4.86,7.7,7.5,0.09,4.21,22,39,2,881,98,253,46,,0,0,0,4,9/10/2018,Peninsular,7.2,4,35,50
1-to-2,181-Sp11-Cr31-0-20,Spooner,181,,6.46,6.73,1.061,1.053,0.527,1.988,0.927,0.12,0.5,0.568,-0.068,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,182-Sp11-Cr32-0-16,Spooner,182,,7.54,7.33,1.066,1.046,0.523,1.985,0.919,0.121,0.5,0.569,-0.069,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,183-Sp11-Cr33-0-20,Spooner,183,,6.55,6.45,1.061,1.028,0.514,1.965,0.904,0.121,0.5,0.569,-0.069,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,184-Sp12-Cr34-0-16,Spooner,184,,7.09,7.1,1.058,0.971,0.486,1.906,0.848,0.127,0.5,0.573,-0.073,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,185-Sp12-Cr35-0-18,Spooner,185,,6.63,6.8,1.064,1.098,0.549,2.026,0.962,0.124,0.5,0.571,-0.071,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,186-Sp12-Cr36-0-20,Spooner,186,,6.36,6.65,1.007,1.055,0.528,1.937,0.93,0.118,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,187-Sp13-Cr37-0-20,Spooner,187,,6.56,6.58,1.069,1.044,0.522,1.987,0.918,0.121,0.5,0.569,-0.069,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,188-Sp13-Cr38-0-20,Spooner,188,,6.54,5.98,1.055,0.995,0.498,1.926,0.871,0.125,0.5,0.571,-0.071,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,189-Sp13-Cr39-0-19,Spooner,189,,6.93,6.9,1.069,1.069,0.535,1.998,0.929,0.131,0.5,0.575,-0.075,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,190-Sp14-Cr40-0-17,Spooner,190,,5.92,5.83,1.061,1.082,0.541,2.015,0.954,0.118,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,191-Sp14-Cr41-0-18,Spooner,191,,5.54,5.59,1.061,0.96,0.48,1.911,0.85,0.115,0.5,0.565,-0.065,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,192-Sp14-Cr42-0-20,Spooner,192,,5.65,5.82,1.075,1.059,0.53,2.019,0.944,0.109,0.5,0.561,-0.061,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,193-Sp15-Cr43-0-18,Spooner,193,,5.72,5.75,1.06,1.016,0.508,1.964,0.904,0.11,0.5,0.562,-0.062,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,194-Sp15-Cr44-0-17,Spooner,194,,5.14,5.32,1.079,1.037,0.519,1.971,0.892,0.14,0.5,0.581,-0.081,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,195-Sp15-Cr45-0-20,Spooner,195,,5.73,5.81,1.062,0.982,0.491,1.91,0.848,0.136,0.5,0.579,-0.079,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,196-Sp16-Cr46-0-20,Spooner,196,,6.54,6.51,1.061,1.046,0.523,1.984,0.923,0.118,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,197-Sp16-Cr47-0-17,Spooner,197,,6.48,6.78,1.063,1.057,0.529,1.994,0.931,0.119,0.5,0.568,-0.068,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,198-Sp16-Cr48-0-20,Spooner,198,,6.49,6.36,1.058,1.044,0.522,2.007,0.949,0.091,0.5,0.55,-0.05,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,199-Sp17-Cr49-0-20,Spooner,199,,5.12,5.19,1.066,1.173,0.587,2.101,1.035,0.118,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,200-Sp17-Cr50-0-18,Spooner,200,,5.6,5.7,1.065,1.064,0.532,2.018,0.953,0.104,0.5,0.558,-0.058,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,201-Sp17-Cr51-0-18,Spooner,201,,5.93,5.85,1.007,1.083,0.542,1.976,0.969,0.105,0.5,0.559,-0.059,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,202-Sp18-Cr52-0-18,Spooner,202,,6.68,6.79,1.059,1.06,0.53,1.993,0.934,0.119,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,203-Sp18-Cr53-0-19,Spooner,203,,7.23,7.14,1.067,1.005,0.503,1.967,0.9,0.104,0.5,0.558,-0.058,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,204-Sp18-Cr54-0-20,Spooner,204,,6.85,6.89,1.052,0.985,0.493,1.932,0.88,0.107,0.5,0.56,-0.06,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,205-Sp19-Cr55-0-20,Spooner,205,,5.69,5.66,1.06,1.051,0.526,2.002,0.942,0.104,0.5,0.558,-0.058,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,206-Sp19-Cr56-0-18,Spooner,206,,5.28,5.4,1.068,1.068,0.534,2.019,0.951,0.11,0.5,0.562,-0.062,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,207-Sp19-Cr57-0-18,Spooner,207,,6.2,6.58,1.007,1.06,0.53,1.947,0.94,0.113,0.5,0.564,-0.064,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,208-Sp20-Cr58-0-20,Spooner,208,,6.8,7.08,1.062,0.994,0.497,1.946,0.884,0.111,0.5,0.562,-0.062,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,209-Sp20-Cr59-0-19,Spooner,209,,5.82,5.89,1.059,1.029,0.515,1.973,0.914,0.112,0.5,0.563,-0.063,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,210-Sp20-Cr60-0-20,Spooner,210,,5.83,6.05,1.055,1.049,0.525,1.975,0.92,0.123,0.5,0.57,-0.07,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,211-Sp1-Cr1-0-20,Spooner,211,,5.4,5.74,1.077,1.063,0.532,2.015,0.938,0.118,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,212-Sp1-Cr2-0-20,Spooner,212,,5.17,5.27,1.01,0.945,0.473,1.857,0.847,0.104,0.5,0.558,-0.058,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,213-Sp1-Cr3-0-20,Spooner,213,,5.45,5.57,1.06,1.061,0.531,1.993,0.933,0.121,0.5,0.569,-0.069,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,214-Sp2-Cr4-0-20,Spooner,214,,7.66,7.38,1.058,1.032,0.516,1.972,0.914,0.114,0.5,0.565,-0.065,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,215-Sp2-Cr5-0-20,Spooner,215,,6.03,6.36,1.059,1.06,0.53,1.997,0.938,0.115,0.5,0.565,-0.065,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,216-Sp2-Cr6-0-20,Spooner,216,,5.49,5.66,1.052,1.06,0.53,1.991,0.939,0.114,0.5,0.564,-0.064,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,217-Sp3-Cr7-0-20,Spooner,217,,7.05,7.12,1.07,1.04,0.52,1.98,0.91,0.125,0.5,0.571,-0.071,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,218-Sp3-Cr8-0-20,Spooner,218,,6.86,6.98,1.055,1.026,0.513,1.954,0.899,0.124,0.5,0.571,-0.071,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,219-Sp3-Cr9-0-20,Spooner,219,,7.16,7.01,1.066,1.088,0.544,2.025,0.959,0.119,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,220-Sp4-Cr10-0-20,Spooner,220,,6.03,6.28,1.057,1.064,0.532,2.009,0.952,0.105,0.5,0.559,-0.059,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,221-Sp4-Cr11-0-20,Spooner,221,,6.33,6.67,1.053,1.068,0.534,2.006,0.953,0.108,0.5,0.56,-0.06,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,222-Sp4-Cr12-0-20,Spooner,222,,6.73,6.47,1.074,0.932,0.466,1.9,0.826,0.114,0.5,0.564,-0.064,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,223-Sp5-Cr13-0-20,Spooner,223,,6.9,7.23,1.065,1.016,0.508,1.951,0.886,0.128,0.5,0.573,-0.073,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,224-Sp5-Cr14-0-20,Spooner,224,,6.45,6.57,1.076,1.038,0.519,1.99,0.914,0.119,0.5,0.568,-0.068,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,225-Sp5-Cr15-0-20,Spooner,225,,7.29,7.15,1.06,0.943,0.472,1.9,0.84,0.109,0.5,0.561,-0.061,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,226-Sp6-Cr16-0-15,Spooner,226,,6.94,7.24,1.011,0.96,0.48,1.837,0.826,0.14,0.5,0.581,-0.081,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,227-Sp6-Cr17-0-20,Spooner,227,,6.78,6.9,1.008,1.08,0.54,1.941,0.933,0.136,0.5,0.579,-0.079,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,228-Sp6-Cr18-0-20,Spooner,228,,6.7,6.64,1.06,0.991,0.496,1.922,0.862,0.13,0.5,0.575,-0.075,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,229-Sp7-Cr19-0-20,Spooner,229,,4.95,5.11,1.069,1.046,0.523,1.978,0.909,0.131,0.5,0.575,-0.075,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,230-Sp7-Cr20-0-20,Spooner,230,,4.79,4.95,1.067,1.047,0.524,1.977,0.91,0.131,0.5,0.575,-0.075,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,231-Sp7-Cr21-0-13,Spooner,231,,7.38,7.58,1.062,1.044,0.522,1.96,0.898,0.14,0.5,0.581,-0.081,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,232-Sp8-Cr22-0-20,Spooner,232,,6.74,6.56,1.064,1.007,0.504,1.941,0.877,0.129,0.5,0.574,-0.074,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,233-Sp8-Cr23-0-20,Spooner,233,,6.45,6.43,1.063,1.062,0.531,1.993,0.93,0.124,0.5,0.571,-0.071,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,234-Sp8-Cr24-0-20,Spooner,234,,6.04,6.18,1.054,0.968,0.484,1.908,0.854,0.118,0.5,0.567,-0.067,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,235-Sp9-Cr25-0-15,Spooner,235,,7.45,7.09,1.078,1.02,0.51,1.964,0.886,0.131,0.5,0.576,-0.076,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,236-Sp9-Cr26-0-20,Spooner,236,,6.8,6.9,1.064,0.997,0.499,1.928,0.864,0.133,0.5,0.577,-0.077,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,237-Sp9-Cr27-0-15,Spooner,237,,6.89,7.21,1.055,1.025,0.513,1.93,0.875,0.146,0.5,0.586,-0.086,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,238-Sp10-Cr28-0-20,Spooner,238,,5.69,5.73,1.068,1.018,0.509,1.968,0.9,0.116,0.5,0.566,-0.066,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,239-Sp10-Cr29-0-15,Spooner,239,,5.96,6.01,1.062,1.058,0.529,1.988,0.926,0.125,0.5,0.571,-0.071,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,240-Sp10-Cr30-0-20,Spooner,240,,5.69,5.86,1.075,1.07,0.535,2.009,0.934,0.127,0.5,0.573,-0.073,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,241-Sp-A-Hor-Fridge,,241,,4.94,5.1,1.058,1.022,0.511,2.054,0.996,0.025,0.5,0.513,-0.013,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,242-Sp-B-Hor-Fridge,,242,,5.32,5.46,1.062,0.942,0.471,2.002,0.94,0.002,0.5,0.501,-0.001,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,1-K1-0-17,Wisconsin,1,,5.08,5.15,1.066,1.175,0.392,2.134,1.068,0.091,0.333,0.367,-0.033,64,25.2,10.8,Sandy Loam,2.5,4.6,4.9,6.3,0.13,1.64,99,44,1,237,12,40,3,,0,8.6,87,9,8/23/2018,Kemp,5.4,1,0,17
1-to-3,2-K1-17-45,Wisconsin,2,,5.34,5.44,0.016,1.229,0.41,2.189,2.173,-0.768,0.333,0.189,0.145,68,21.2,10.8,Sandy Loam,1.3,5.36,5.4,6.5,0.09,0.71,101,41,1,194,13,32,4,,0,6.1,85,6,8/23/2018,Kemp,5.4,1,17,45
1-to-3,3-K1-45-60,Wisconsin,3,,5.41,5.57,1.059,1.245,0.415,2.248,1.189,0.045,0.333,0.349,-0.016,72,19.2,8.8,Sandy Loam,0.4,6.28,5.6,7.1,0.08,0.11,37,26,4,327,96,58,28,,0,0,0,1,8/23/2018,Kemp,5.4,1,45,60
1-to-3,5-K3-0-15,Wisconsin,5,,5.01,5.12,1.068,1.239,0.413,2.218,1.15,0.072,0.333,0.359,-0.026,64,27.2,8.8,Sandy Loam,4,4.38,4.7,6.1,0.18,2.52,63,67,1,382,15,85,5,,0,10.9,84,13,8/23/2018,Kemp,5.4,3,0,15
1-to-3,6-K3-15-35,Wisconsin,6,,5.16,5.3,1.058,1.215,0.405,2.158,1.1,0.095,0.333,0.368,-0.035,60,31.2,8.8,Sandy Loam,1.5,5.05,5.1,6.4,0.12,0.77,40,57,2,170,11,39,4,,0,7,87,7,8/23/2018,Kemp,5.4,3,15,35
1-to-3,7-K3-35-50,Wisconsin,7,,5.13,5.25,1.068,1.239,0.413,2.231,1.163,0.061,0.333,0.355,-0.022,70,19.2,10.8,Sandy Loam,0.8,5.76,5.2,6.7,0.11,0.33,24,63,3,189,19,38,6,,0,4,78,4,8/23/2018,Kemp,5.4,3,35,50
1-to-3,8-K4-0-15,Wisconsin,8,,4.77,4.94,1.081,1.19,0.397,2.195,1.114,0.064,0.333,0.356,-0.023,78,15.2,6.8,Loamy Sand,2.5,4.89,4.5,6.1,0.13,1.63,18,42,1,122,5,22,2,,0,10.7,94,10,8/23/2018,Kemp,5.4,4,0,15
1-to-3,9-K4-15-30,Wisconsin,9,,5.06,5.13,1.069,1.242,0.414,2.235,1.166,0.061,0.333,0.355,-0.022,74,15.2,10.8,Sandy Loam,1.4,5.44,5,6.4,0.11,0.68,64,29,1,22,1,6,1,,0,7.3,98,6,8/23/2018,Kemp,5.4,4,15,30
1-to-3,10-K4-30-50,Wisconsin,10,,4.99,5.11,1.069,1.242,0.414,2.247,1.178,0.052,0.333,0.351,-0.018,72,15.2,12.8,Sandy Loam,0.8,5.51,4.4,6.5,0.11,0.34,16,23,1,22,2,5,1,,0,5.5,97,4,8/23/2018,Kemp,5.4,4,30,50
1-to-3,11-R1-0-27,Wisconsin,11,,5.44,5.68,1.064,1.197,0.399,2.22,1.156,0.034,0.333,0.345,-0.012,82,11.2,6.8,Loamy Sand,1.2,6.16,5.5,6.8,0.13,0.81,197,62,6,134,23,8,2,,0,2,71,2,8/24/2018,Rhinelander,5.5,1,0,27
1-to-3,12-R1-27-50,Wisconsin,12,,5.52,5.74,1.001,1.227,0.409,2.199,1.198,0.024,0.333,0.341,-0.008,94,1.2,4.8,Sand,0.2,6.4,5.9,7.3,0.11,0.05,39,47,23,81,77,5,8,,0,0,0,0,8/24/2018,Rhinelander,5.5,1,27,50
1-to-3,13-R1-50-70,Wisconsin,13,,5.38,5.7,1.07,1.274,0.425,2.301,1.231,0.034,0.333,0.345,-0.012,97.6,-0.4,2.8,Sand,0.2,6.48,5.9,7.4,0.07,0.01,25,35,28,47,72,3,8,,0,0,0,0,8/24/2018,Rhinelander,5.5,1,50,70
1-to-3,14-R2-0-30,Wisconsin,14,,6.77,6.85,1.068,1.243,0.414,2.295,1.227,0.013,0.333,0.338,-0.004,89.6,5.6,4.8,Sand,1.2,6.06,6.6,7.4,0.1,0.71,163,47,3,897,97,14,2,,0,0,0,3,8/24/2018,Rhinelander,5.5,2,0,30
1-to-3,15-R2-30-45,Wisconsin,15,,5.87,6.23,1.05,1.209,0.403,2.252,1.202,0.006,0.333,0.335,-0.002,93.6,1.6,4.8,Sand,0.3,6.59,6.6,7.4,0.07,0.06,47,23,8,139,92,3,3,,0,0,0,0,8/24/2018,Rhinelander,5.5,2,30,45
1-to-3,16-R2-45-60,Wisconsin,16,,5.72,6.12,1.005,1.247,0.416,2.245,1.24,0.006,0.333,0.335,-0.002,93.6,1.6,4.8,Sand,0.2,6.59,6.2,7.4,0.06,0.05,34,27,14,84,86,4,7,,0,0,0,0,8/24/2018,Rhinelander,5.5,2,45,60
1-to-3,17-R2-60-100,Wisconsin,17,,5.91,6.25,1.063,1.234,0.411,2.284,1.221,0.011,0.333,0.337,-0.004,95.6,1.6,2.8,Sand,0.1,6.51,6.5,7.5,0.06,0.04,26,28,14,85,86,3,5,,0,0,0,0,8/24/2018,Rhinelander,5.5,2,60,100
1-to-3,18-R3-0-20,Wisconsin,18,,5.71,6.07,1.061,1.168,0.389,2.15,1.089,0.068,0.333,0.358,-0.024,73.6,19.6,6.8,Sandy Loam,1.5,5.54,5.9,6.9,0.1,1.12,275,82,5,493,60,28,6,,0,1.4,35,3,8/24/2018,Rhinelander,5.5,3,0,20
1-to-3,19-R3-20-30,Wisconsin,19,,5.44,5.72,1.063,1.201,0.4,2.185,1.122,0.066,0.333,0.357,-0.023,77.6,15.6,6.8,Loamy Sand,0.7,5.81,5.8,6.9,0.09,0.32,89,57,9,139,45,16,8,,0,0.7,46,1,8/24/2018,Rhinelander,5.5,3,20,30
1-to-3,20-M1-0-31,Wisconsin,20,,6.51,6.91,1.009,1.275,0.425,1.998,0.989,0.224,0.333,0.43,-0.096,21.6,61.6,16.8,Silt Loam,3.3,4.02,7.1,7.3,0.24,1.95,33,94,3,1439,97,423,47,,0,0,0,8,9/7/2018,Marshfield,5.65,1,0,31
1-to-3,21-M1-31-50,Wisconsin,21,,5.79,6.41,1.064,1.36,0.453,2.185,1.121,0.176,0.333,0.404,-0.071,17.6,59.6,22.8,Silt Loam,1.1,4.62,6.7,7.1,0.11,0.31,18,54,2,1158,98,544,75,,0,0,0,5,9/7/2018,Marshfield,5.65,1,31,50
1-to-3,22-M1-50-70,Wisconsin,22,,5.15,5.33,1.01,1.249,0.416,2.064,1.054,0.156,0.333,0.395,-0.062,29.6,37.6,32.8,Clay Loam,1,4.6,4.8,6.1,0.1,0.12,8,67,1,1281,37,633,30,,0,10.7,62,16,9/7/2018,Marshfield,5.65,1,50,70
1-to-3,23-M2-0-24,Wisconsin,23,,6.8,7.15,1.061,1.241,0.414,2.027,0.966,0.222,0.333,0.428,-0.095,19.6,63.6,16.8,Silt Loam,3,4.29,7.1,7.3,0.22,1.89,40,118,4,1446,96,428,47,,0,0,0,7,9/7/2018,Marshfield,5.65,2,0,24
1-to-3,24-M2-24-38,Wisconsin,24,,6.47,6.87,1.069,1.254,0.418,2.139,1.07,0.147,0.333,0.391,-0.057,39.6,39.6,20.8,Loam,0.9,4.91,7.1,7.2,0.08,0.2,10,70,3,1233,97,516,67,,0,0,0,5,9/7/2018,Marshfield,5.65,2,24,38
1-to-3,25-M2-38-55,Wisconsin,25,,5.34,5.76,1.078,1.3,0.433,2.191,1.113,0.144,0.333,0.389,-0.056,47.2,25.2,27.6,Sandy Clay Loam,0.8,4.8,5.2,6.7,0.1,0.06,10,90,2,1398,64,568,43,,0,3.7,34,10,9/7/2018,Marshfield,5.65,2,38,55
1-to-3,26-M3-0-15,Wisconsin,26,,5.87,6.33,1.058,1.257,0.419,1.844,0.786,0.375,0.333,0.533,-0.2,19.2,57.2,23.6,Silt Loam,3.6,3.87,5.5,6.7,0.22,2.2,35,147,4,1144,57,291,24,,0,4,39,11,9/7/2018,Marshfield,5.65,3,0,15
