Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,222-Sp4-Cr12-0-20,Spooner,222,,6.1,6.5,1.052,0.771,0.771,1.737,0.685,0.112,1,1.126,-0.126,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,223-Sp5-Cr13-0-20,Spooner,223,,6.57,6.62,1.053,0.854,0.854,1.795,0.742,0.131,1,1.151,-0.151,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,224-Sp5-Cr14-0-20,Spooner,224,,6.16,6.33,1.013,0.856,0.856,1.77,0.757,0.116,1,1.131,-0.131,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,225-Sp5-Cr15-0-20,Spooner,225,,6.51,6.87,1.007,0.776,0.776,1.692,0.685,0.117,1,1.133,-0.133,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,226-Sp6-Cr16-0-15,Spooner,226,,6.59,6.81,1.006,0.848,0.848,1.729,0.723,0.147,1,1.173,-0.173,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,227-Sp6-Cr17-0-20,Spooner,227,,6.56,6.7,1.025,0.846,0.846,1.757,0.732,0.135,1,1.156,-0.156,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,228-Sp6-Cr18-0-20,Spooner,228,,6.38,6.58,1.004,0.861,0.861,1.725,0.721,0.163,1,1.194,-0.194,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,229-Sp7-Cr19-0-20,Spooner,229,,5.09,5.04,1.006,0.8,0.8,1.704,0.698,0.128,1,1.146,-0.146,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,230-Sp7-Cr20-0-20,Spooner,230,,4.8,4.79,1.005,0.845,0.845,1.743,0.738,0.127,1,1.145,-0.145,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,231-Sp7-Cr21-0-13,Spooner,231,,6.28,6.36,1.008,0.803,0.803,1.705,0.697,0.132,1,1.152,-0.152,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,232-Sp8-Cr22-0-20,Spooner,232,,6.24,6.18,1.007,0.838,0.838,1.733,0.726,0.134,1,1.154,-0.154,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,233-Sp8-Cr23-0-20,Spooner,233,,5.95,6.09,1,0.786,0.786,1.687,0.687,0.126,1,1.144,-0.144,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,234-Sp8-Cr24-0-20,Spooner,234,,5.99,6,1.067,0.848,0.848,1.812,0.745,0.121,1,1.138,-0.138,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,235-Sp9-Cr25-0-15,Spooner,235,,6.56,6.79,1.05,0.836,0.836,1.781,0.731,0.126,1,1.144,-0.144,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,236-Sp9-Cr26-0-20,Spooner,236,,6.34,6.55,1.009,0.803,0.803,1.7,0.691,0.139,1,1.162,-0.162,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,237-Sp9-Cr27-0-15,Spooner,237,,6.93,6.73,1.01,0.83,0.83,1.725,0.715,0.139,1,1.161,-0.161,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,238-Sp10-Cr28-0-20,Spooner,238,,5.71,5.68,1.006,0.84,0.84,1.747,0.741,0.118,1,1.134,-0.134,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,239-Sp10-Cr29-0-15,Spooner,239,,5.86,5.97,1.006,0.779,0.779,1.689,0.683,0.123,1,1.141,-0.141,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,240-Sp10-Cr30-0-20,Spooner,240,,5.63,5.6,1.005,0.831,0.831,1.734,0.729,0.123,1,1.14,-0.14,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,241-Sp-A-Hor-Fridge,,241,,5.03,5.06,1.051,0.789,0.789,1.819,0.768,0.027,1,1.027,-0.027,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,242-Sp-B-Hor-Fridge,,242,,5.33,5.4,1.011,0.75,0.75,1.759,0.748,0.003,1,1.003,-0.003,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-2,1-K1-0-17,Wisconsin,1,,4.87,4.93,1.005,0.946,0.473,1.85,0.845,0.107,0.5,0.56,-0.06,64,25.2,10.8,Sandy Loam,2.5,4.6,4.9,6.3,0.13,1.64,99,44,1,237,12,40,3,,0,8.6,87,9,8/23/2018,Kemp,5.4,1,0,17
