,sensor [K-33 ICB],,
,CO2,,,
08/13/19 9:42:57.800,"310",,
08/13/19 9:43:27.805,"320",,
08/13/19 9:43:57.801,"320",,
08/13/19 9:44:27.800,"340",,
08/13/19 9:44:57.800,"370",,
08/13/19 9:45:27.800,"370",,
08/13/19 9:45:57.800,"420",,
08/13/19 9:46:27.802,"390",,
08/13/19 9:46:57.800,"370",,
08/13/19 9:47:27.800,"380",,
08/13/19 9:47:57.800,"360",,
08/13/19 9:48:27.800,"380",,
08/13/19 9:48:57.800,"370",,
08/13/19 9:49:27.808,"380",,
08/13/19 9:49:57.804,"360",,
08/13/19 9:50:27.800,"340",,
08/13/19 9:50:57.800,"360",,
08/13/19 9:51:27.800,"330",,
08/13/19 9:51:57.800,"350",,
08/13/19 9:52:27.800,"330",,
08/13/19 9:52:57.800,"370",,
08/13/19 9:53:27.800,"370",,
08/13/19 9:53:57.808,"390",,
08/13/19 9:54:27.807,"370",,
08/13/19 9:54:57.800,"360",,
08/13/19 9:55:27.800,"370",,
08/13/19 9:55:57.805,"370",,
08/13/19 9:56:27.800,"360",,
08/13/19 9:56:57.800,"360",,
08/13/19 9:57:27.800,"360",,
08/13/19 9:57:57.800,"330",,
08/13/19 9:58:27.800,"320",,
08/13/19 9:58:57.801,"310",,
08/13/19 9:59:27.803,"320",,
08/13/19 9:59:57.800,"350",,
08/13/19 10:00:27.800,"340",,
08/13/19 10:00:57.800,"330",,
08/13/19 10:01:27.800,"330",,
08/13/19 10:01:57.804,"330",,
08/13/19 10:02:27.800,"340",,
08/13/19 10:02:57.800,"350",,
08/13/19 10:03:27.800,"360",,
08/13/19 10:03:57.800,"360",,
08/13/19 10:04:27.800,"360",,
08/13/19 10:04:57.804,"370",,
08/13/19 10:05:27.800,"350",,
08/13/19 10:05:57.800,"350",,
08/13/19 10:06:27.800,"370",,
08/13/19 10:06:57.800,"370",,
08/13/19 10:07:27.800,"370",,
08/13/19 10:07:27.800,"370",,
08/13/19 10:07:57.804,"370",,
08/13/19 10:08:27.800,"380",,
08/13/19 10:08:57.800,"390",,
08/13/19 10:09:27.800,"390",,
08/13/19 10:09:57.800,"360",,
08/13/19 10:10:27.800,"370",,
08/13/19 10:10:57.805,"370",,
08/13/19 10:11:27.800,"700",,
