,sensor [K-33 ICB],,
,CO2,,,
08/13/19 15:44:34.827,"22290",,
08/13/19 15:45:04.829,"22310",,
08/13/19 15:45:34.828,"22260",,
08/13/19 15:46:04.827,"22230",,
08/13/19 15:46:34.827,"22240",,
08/13/19 15:47:04.827,"22290",,
08/13/19 15:47:34.827,"22450",,
08/13/19 15:48:04.832,"22370",,
08/13/19 15:48:34.833,"22280",,
08/13/19 15:49:04.827,"22300",,
08/13/19 15:49:34.829,"22300",,
08/13/19 15:50:04.827,"22280",,
08/13/19 15:50:34.827,"22290",,
08/13/19 15:51:04.827,"22410",,
08/13/19 15:51:34.827,"22280",,
08/13/19 15:52:04.827,"22310",,
08/13/19 15:52:34.827,"22330",,
08/13/19 15:53:04.827,"22320",,
08/13/19 15:53:34.827,"22350",,
08/13/19 15:54:04.834,"22320",,
08/13/19 15:54:34.833,"22300",,
08/13/19 15:55:04.827,"22300",,
08/13/19 15:55:34.828,"22290",,
08/13/19 15:56:04.827,"22320",,
08/13/19 15:56:34.827,"22330",,
08/13/19 15:57:04.827,"22320",,
08/13/19 15:57:34.827,"22340",,
08/13/19 15:58:04.827,"22350",,
08/13/19 15:58:34.827,"22380",,
08/13/19 15:59:04.827,"22350",,
08/13/19 15:59:34.827,"22370",,
08/13/19 16:00:04.827,"22390",,
08/13/19 16:00:34.827,"22330",,
08/13/19 16:01:04.827,"22340",,
08/13/19 16:01:34.827,"22400",,
08/13/19 16:02:04.827,"22430",,
08/13/19 16:02:34.827,"22390",,
08/13/19 16:03:04.831,"22360",,
08/13/19 16:03:34.827,"22350",,
08/13/19 16:04:04.827,"22360",,
08/13/19 16:04:34.827,"22350",,
08/13/19 16:05:04.827,"22350",,
08/13/19 16:05:34.827,"22330",,
08/13/19 16:06:04.830,"22350",,
08/13/19 16:06:34.827,"22350",,
08/13/19 16:07:04.827,"22330",,
08/13/19 16:07:34.827,"22350",,
08/13/19 16:08:04.827,"22330",,
08/13/19 16:08:04.827,"22330",,
08/13/19 16:08:34.833,"22310",,
08/13/19 16:09:04.832,"22330",,
08/13/19 16:09:34.827,"22360",,
08/13/19 16:10:04.828,"22360",,
08/13/19 16:10:34.827,"22390",,
08/13/19 16:11:04.827,"22400",,
08/13/19 16:11:34.827,"22360",,
08/13/19 16:12:04.827,"22350",,
08/13/19 16:12:34.827,"22390",,
08/13/19 16:13:04.827,"22380",,
08/13/19 16:13:34.827,"22410",,
08/13/19 16:14:04.827,"22430",,
08/13/19 16:14:34.834,"22430",,
08/13/19 16:15:04.831,"22420",,
08/13/19 16:15:34.827,"22400",,
08/13/19 16:16:04.827,"22420",,
08/13/19 16:16:34.827,"22410",,
08/13/19 16:17:04.827,"22420",,
08/13/19 16:17:34.827,"22360",,
08/13/19 16:18:04.827,"22280",,
08/13/19 16:18:34.827,"22330",,
08/13/19 16:19:04.827,"22280",,
08/13/19 16:19:34.827,"22370",,
08/13/19 16:20:04.827,"22400",,
08/13/19 16:20:34.827,"22370",,
08/13/19 16:21:04.827,"22350",,
08/13/19 16:21:34.827,"22350",,
08/13/19 16:22:04.827,"22380",,
08/13/19 16:22:34.827,"22430",,
08/13/19 16:23:04.827,"22450",,
08/13/19 16:23:34.830,"22380",,
08/13/19 16:24:04.831,"22410",,
08/13/19 16:24:34.827,"22410",,
08/13/19 16:25:04.827,"22390",,
08/13/19 16:25:34.827,"22360",,
08/13/19 16:26:04.827,"22350",,
