,sensor [K-33 ICB],,
,CO2,,,
08/19/19 8:03:16.387,"230",,
08/19/19 8:03:46.377,"250",,
08/19/19 8:04:16.377,"270",,
08/19/19 8:04:46.385,"260",,
08/19/19 8:05:16.376,"260",,
08/19/19 8:05:46.376,"280",,
08/19/19 8:06:16.379,"280",,
08/19/19 8:06:46.376,"290",,
08/19/19 8:07:16.376,"320",,
08/19/19 8:07:46.376,"300",,
08/19/19 8:08:16.376,"310",,
08/19/19 8:08:46.376,"300",,
08/19/19 8:09:16.376,"300",,
08/19/19 8:09:46.376,"320",,
08/19/19 8:10:16.376,"320",,
08/19/19 8:10:46.376,"320",,
08/19/19 8:11:16.381,"310",,
08/19/19 8:11:46.376,"290",,
08/19/19 8:12:16.376,"290",,
08/19/19 8:12:46.376,"280",,
08/19/19 8:13:16.376,"280",,
08/19/19 8:13:46.376,"290",,
08/19/19 8:14:16.380,"270",,
08/19/19 8:14:46.376,"290",,
08/19/19 8:15:16.376,"240",,
08/19/19 8:15:46.376,"270",,
08/19/19 8:16:16.376,"280",,
08/19/19 8:16:46.376,"320",,
08/19/19 8:17:16.378,"290",,
08/19/19 8:17:46.376,"340",,
08/19/19 8:18:16.376,"330",,
08/19/19 8:18:46.376,"350",,
08/19/19 8:19:16.376,"350",,
08/19/19 8:19:46.376,"340",,
08/19/19 8:20:16.376,"320",,
08/19/19 8:20:46.376,"300",,
08/19/19 8:21:16.376,"320",,
08/19/19 8:21:46.376,"280",,
08/19/19 8:22:16.377,"320",,
08/19/19 8:22:46.376,"320",,
08/19/19 8:23:16.376,"340",,
08/19/19 8:23:46.376,"370",,
08/19/19 8:24:16.376,"370",,
08/19/19 8:24:46.376,"360",,
08/19/19 8:25:16.376,"330",,
08/19/19 8:25:46.377,"340",,
08/19/19 8:26:16.376,"320",,
08/19/19 8:26:46.376,"300",,
08/19/19 8:27:16.376,"320",,
08/19/19 8:27:46.376,"300",,
08/19/19 8:27:46.376,"300",,
08/19/19 8:28:16.381,"320",,
08/19/19 8:28:46.376,"310",,
08/19/19 8:29:16.376,"330",,
08/19/19 8:29:46.376,"320",,
08/19/19 8:30:16.376,"320",,
08/19/19 8:30:46.376,"300",,
08/19/19 8:31:16.376,"290",,
08/19/19 8:31:46.376,"280",,
08/19/19 8:32:16.378,"250",,
08/19/19 8:32:46.376,"290",,
08/19/19 8:33:16.376,"270",,
08/19/19 8:33:46.376,"290",,
08/19/19 8:34:16.376,"290",,
08/19/19 8:34:46.376,"300",,
08/19/19 8:35:16.376,"310",,
08/19/19 8:35:46.376,"310",,
08/19/19 8:36:16.376,"300",,
08/19/19 8:36:46.376,"300",,
08/19/19 8:37:16.376,"300",,
08/19/19 8:37:46.376,"290",,
08/19/19 8:38:16.376,"290",,
08/19/19 8:38:46.376,"300",,
08/19/19 8:39:16.376,"300",,
08/19/19 8:39:46.376,"270",,
08/19/19 8:40:16.376,"250",,
08/19/19 8:40:46.376,"250",,
08/19/19 8:41:16.376,"260",,
08/19/19 8:41:46.376,"270",,
08/19/19 8:42:16.381,"280",,
08/19/19 8:42:46.376,"270",,
08/19/19 8:43:16.376,"280",,
08/19/19 8:43:46.376,"290",,
08/19/19 8:44:16.376,"300",,
08/19/19 8:44:46.376,"320",,
08/19/19 8:45:16.376,"300",,
08/19/19 8:45:46.376,"300",,
08/19/19 8:46:16.378,"300",,
08/19/19 8:46:46.376,"300",,
08/19/19 8:47:16.376,"300",,
08/19/19 8:47:46.376,"310",,
08/19/19 8:48:16.376,"310",,
08/19/19 8:48:46.376,"310",,
08/19/19 8:49:16.376,"320",,
08/19/19 8:49:46.376,"300",,
08/19/19 8:50:16.376,"310",,
08/19/19 8:50:46.376,"320",,
08/19/19 8:51:16.376,"310",,
08/19/19 8:51:46.376,"310",,
08/19/19 8:52:16.376,"300",,
08/19/19 8:52:46.376,"310",,
08/19/19 8:53:16.376,"310",,
08/19/19 8:53:16.376,"310",,
08/19/19 8:53:46.376,"310",,
08/19/19 8:54:16.376,"320",,
08/19/19 8:54:46.376,"300",,
08/19/19 8:55:16.376,"320",,
08/19/19 8:55:46.376,"340",,
08/19/19 8:56:16.376,"360",,
08/19/19 8:56:46.376,"330",,
08/19/19 8:57:16.376,"320",,
08/19/19 8:57:46.376,"300",,
08/19/19 8:58:16.376,"280",,
08/19/19 8:58:46.376,"290",,
08/19/19 8:59:16.376,"290",,
08/19/19 8:59:46.376,"300",,
08/19/19 9:00:16.376,"290",,
08/19/19 9:00:46.377,"280",,
08/19/19 9:01:16.376,"300",,
08/19/19 9:01:46.376,"300",,
08/19/19 9:02:16.376,"320",,
08/19/19 9:02:46.376,"300",,
08/19/19 9:03:16.377,"280",,
08/19/19 9:03:46.376,"290",,
08/19/19 9:04:16.376,"310",,
08/19/19 9:04:46.376,"300",,
08/19/19 9:05:16.376,"310",,
08/19/19 9:05:46.376,"290",,
08/19/19 9:06:16.376,"300",,
08/19/19 9:06:46.376,"300",,
08/19/19 9:07:16.377,"320",,
