Water.Soil.Ratio,Sample.ID,Sample.Num,Random.Num.1.to.65,Study,Sample.Number,DNA.Extr.pH.After.C1,DNA.Extr.pH.After.C2,Lab.CO2.pH.one2one,Lab.CO2.pH.one2two,Lab.CO2.pH.one2three,Lab.CO2.pH.one2four,High.CO2.pH.one2one,High.CO2.pH.one2two,High.CO2.pH.one2three,High.CO2.pH.one2four,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Ac.Hplus,Hplus.perc.CEC,CEC.sum,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,018-R3-0-20,18,32.4469692739716,Wisconsin,18,9.174,7.955,5.8,5.88,5.71,5.91,5.79,6.01,6.07,6.21,73.6,19.6,6.8,Sandy Loam,1.5,5.54,5.9,6.9,0.1,1.12,275,82,5,493,60,28,6,,0,1.4,35,3,8/24/2018,Rhinelander,5.5,3,0,20
1-to-1,019-R3-20-30,19,51.3533224900193,Wisconsin,19,9.24,7.951,5.59,5.56,5.44,5.48,5.57,5.66,5.72,5.68,77.6,15.6,6.8,Loamy Sand,0.7,5.81,5.8,6.9,0.09,0.32,89,57,9,139,45,16,8,,0,0.7,46,1,8/24/2018,Rhinelander,5.5,3,20,30
1-to-1,020-M1-0-31,20,10.9139396786809,Wisconsin,20,8.897,7.813,6.69,6.77,6.51,6.78,6.55,7.02,6.91,7.13,21.6,61.6,16.8,Silt Loam,3.3,4.02,7.1,7.3,0.24,1.95,33,94,3,1439,97,423,47,,0,0,0,8,9/7/2018,Marshfield,5.65,1,0,31
1-to-1,021-M1-31-50,21,38.7389089380018,Wisconsin,21,9.018,7.884,6.1,5.86,5.79,6.03,5.9,6.12,6.41,6.46,17.6,59.6,22.8,Silt Loam,1.1,4.62,6.7,7.1,0.11,0.31,18,54,2,1158,98,544,75,,0,0,0,5,9/7/2018,Marshfield,5.65,1,31,50
1-to-1,022-M1-50-70,22,55.04123253562,Wisconsin,22,8.737,7.635,5.36,5.21,5.15,5.1,5.18,5.36,5.33,5.36,29.6,37.6,32.8,Clay Loam,1,4.6,4.8,6.1,0.1,0.12,8,67,1,1281,37,633,30,,0,10.7,62,16,9/7/2018,Marshfield,5.65,1,50,70
1-to-1,023-M2-0-24,23,24.4826202778329,Wisconsin,23,8.92,7.734,6.61,6.99,6.8,7.03,6.59,7.2,7.15,7.08,19.6,63.6,16.8,Silt Loam,3,4.29,7.1,7.3,0.22,1.89,40,118,4,1446,96,428,47,,0,0,0,7,9/7/2018,Marshfield,5.65,2,0,24
1-to-1,024-M2-24-38,24,12.5342957316356,Wisconsin,24,9,7.894,6.66,6.6,6.47,6.79,6.54,7.03,6.87,6.9,39.6,39.6,20.8,Loam,0.9,4.91,7.1,7.2,0.08,0.2,10,70,3,1233,97,516,67,,0,0,0,5,9/7/2018,Marshfield,5.65,2,24,38
1-to-1,025-M2-38-55,25,31.5889554215066,Wisconsin,25,8.911,7.795,5.68,5.49,5.34,5.68,5.44,5.67,5.76,5.89,47.2,25.2,27.6,Sandy Clay Loam,0.8,4.8,5.2,6.7,0.1,0.06,10,90,2,1398,64,568,43,,0,3.7,34,10,9/7/2018,Marshfield,5.65,2,38,55
1-to-1,026-M3-0-15,26,44.4604785974873,Wisconsin,26,8.844,7.8,5.88,6.12,5.87,5.91,5.82,6.34,6.33,6.25,19.2,57.2,23.6,Silt Loam,3.6,3.87,5.5,6.7,0.22,2.2,35,147,4,1144,57,291,24,,0,4,39,11,9/7/2018,Marshfield,5.65,3,0,15
1-to-1,027-M3-15-30,27,0.328909929872219,Wisconsin,27,8.826,7.774,5.85,5.52,5.34,5.38,5.66,5.67,5.71,5.66,49.2,25.2,25.6,Sandy Clay Loam,0.8,4.77,5,6.6,0.08,0.26,18,59,1,1368,57,426,29,,0,4.9,41,11,9/7/2018,Marshfield,5.65,3,15,30
1-to-1,028-S-0-30,28,49.860115589119,Wisconsin,28,,,5.42,5.29,4.98,5.1,5.21,5.34,5.25,5.28,75.2,17.2,7.6,Sandy Loam,1.3,5.93,4.7,6.6,0.08,0.88,45,62,3,249,21,46,6,,0,4.6,76,4,11/3/2017,Spooner,5.8,,0,30
1-to-1,029-S-30-60,29,58.9078261120663,Wisconsin,29,,,5.69,5.65,5.44,5.44,5.5,5.6,5.62,5.54,81.2,7.2,11.6,Sandy Loam,0.6,6.08,5.5,7,0.08,0.16,25,120,10,500,85,93,26,,0,0.1,4,2,11/3/2017,Spooner,5.8,,30,60
1-to-1,030-H1-0-30,30,35.7622508016074,Wisconsin,30,9.364,7.894,6.4,6.76,6.76,7.03,6.28,7.07,6.92,7.17,87.2,7.2,5.6,Loamy Sand,1,6.25,7.3,7.5,0.12,0.89,106,58,5,612,95,159,41,,0,0,0,2,9/17/2018,Hancock,6.2,1,0,30
1-to-1,031-H1-30-40,31,44.6080343796137,Wisconsin,31,9.388,8.062,6.59,6.73,6.5,7.06,6.42,7.22,7.05,7.08,87.2,7.2,5.6,Loamy Sand,0.5,6.09,7.5,7.5,0.06,0.26,92,56,6,433,94,118,42,,0,0,0,2,9/17/2018,Hancock,6.2,1,30,40
1-to-1,032-H1-40-60,32,15.1559823790131,Wisconsin,32,9.412,8.079,6.39,6.69,6.53,6.84,6.25,7.21,6.95,6.99,85.2,7.2,7.6,Loamy Sand,0.4,6.1,7.4,7.5,0.06,0.1,73,53,8,323,92,101,47,,0,0,0,1,9/17/2018,Hancock,6.2,1,40,60
1-to-1,033-H2-0-30,33,42.6137389395295,Wisconsin,33,9.217,7.937,6.27,6.68,6.46,6.9,6.26,7.06,6.91,6.88,87.2,7.2,5.6,Loamy Sand,0.8,5.91,7.2,7.5,0.05,0.38,74,50,5,498,95,128,40,,0,0,0,2,9/17/2018,Hancock,6.2,2,0,30
1-to-1,034-H2-30-60,34,42.6139890186565,Wisconsin,34,9.4,7.996,6.2,7.03,6.62,6.96,6.13,7,6.88,6.88,87.2,5.2,7.6,Loamy Sand,0.4,6.04,7.2,7.5,0.03,0.1,85,40,7,280,93,96,52,,0,0,0,1,9/17/2018,Hancock,6.2,2,30,60
1-to-1,035-A249-0-35,35,36.6432494365909,Wisconsin,35,8.925,7.795,6.75,7.07,6.86,7.38,6.7,7.28,7.17,7.12,11.2,65.2,23.6,Silt Loam,3.6,4.07,7.2,7.3,0.21,2.23,28,78,2,1785,98,505,45,,0,0,0,10,8/31/2018,Arlington,6.5,249,0,35
1-to-1,036-A249-35-60,36,27.8448911961617,Wisconsin,36,8.911,7.83,6.55,6.85,6.8,7.19,6.66,7.25,7.1,6.98,1.2,67.6,31.2,Silty Clay Loam,1.7,4.42,7.3,7.2,0.15,0.7,13,68,2,1722,98,667,62,,0,0,0,8,8/31/2018,Arlington,6.5,249,35,60
1-to-1,037-A341-0-33,37,8.90930456818935,Wisconsin,37,8.858,7.72,6.76,6.93,6.81,7.15,6.67,7.31,7.11,7.04,25.2,51.6,23.2,Silt Loam,3.5,4.41,7.4,7.3,0.22,2.7,32,76,2,2014,98,527,42,,0,0,0,10,8/31/2018,Arlington,6.5,341,0,33
1-to-1,038-A341-33-55,38,25.2903317525326,Wisconsin,38,8.677,7.72,6.77,7.43,6.91,7.05,6.62,7.45,7.18,7.2,9.2,61.6,29.2,Silty Clay Loam,4.6,3.61,7.3,7.1,0.26,3.02,35,34,1,2071,99,530,42,,0,0,0,12,8/31/2018,Arlington,6.5,341,33,55
