Field.ID,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,,Sample.Index,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
36,1.7,4.42,7.3,7.2,0.15,0.7,13,68,2,1722,98,667,62,,0,0,0,8,,36-A249-35-60,2018-08-31,Arlington,6.50,249,35,60
37,3.5,4.41,7.4,7.3,0.22,2.7,32,76,2,2014,98,527,42,,0,0,0,10,,37-A341-0-33,2018-08-31,Arlington,6.50,341,0,33
38,4.6,3.61,7.3,7.1,0.26,3.02,35,34,1,2071,99,530,42,,0,0,0,12,,38-A341-33-55,2018-08-31,Arlington,6.50,341,33,55
39,3.3,3.9,7.2,7.1,0.21,2.02,28,37,1,1652,99,514,50,,0,0,0,9,,39-A341-55-75,2018-08-31,Arlington,6.50,341,55,75
40,1.7,4.3,7.2,7.1,0.1,0.83,9,39,2,980,98,574,94,,0,0,0,5,,40-A341-75-85,2018-08-31,Arlington,6.50,341,75,85
41,2.6,4.17,7,7.3,0.22,1.71,14,72,3,1288,97,347,43,,0,0,0,7,,41-L2-0-23,2018-08-30,Lancaster,6.60,2,0,23
42,1.3,4.53,7.3,7.3,0.13,0.55,9,62,2,1330,98,444,53,,0,0,0,6,,42-L2-23-45,2018-08-30,Lancaster,6.60,2,23,45
43,2.8,4.28,6.5,7.1,0.15,1.58,17,116,4,1502,96,470,49,,0,0,0,8,,43-L3-0-12,2018-08-30,Lancaster,6.60,3,0,12
44,2,4.42,6.7,7.1,0.14,0.82,10,78,2,1617,98,545,54,,0,0,0,8,,44-L3-12-20,2018-08-30,Lancaster,6.60,3,12,20
45,1.5,4.42,6.8,7,0.13,0.48,22,100,3,1984,97,723,58,,0,0,0,10,,45-L3-20-40,2018-08-30,Lancaster,6.60,3,20,40
46,3.1,4.01,6.2,6.9,0.2,1.94,10,58,2,1193,87,264,32,,0,0.7,11,7,,46-L4-0-10,2018-08-30,Lancaster,6.60,4,0,10
47,2.8,4.11,5.9,6.9,0.23,1.7,18,47,2,1074,74,209,24,,0,1.8,25,8,,47-L4-10-20,2018-08-30,Lancaster,6.60,4,10,20
48,1.3,4.39,6.1,7,0.14,0.63,10,42,2,1053,98,184,28,,0,0,0,5,,48-L4-20-40,2018-08-30,Lancaster,6.60,4,20,40
49,23.2,2.1,8.8,7.7,0.87,14.74,453,4624,57,1789,43,817,32,,0,0,0,42,,49-W3-Compost,2018-08-16,West Madison,6.70,3,,
50,3.1,4.62,6.9,7.2,0.22,1.99,8,72,2,1841,98,618,54,,0,0,0,9,,50-W4-0-28,2018-08-31,West Madison,6.70,4,0,28
51,1.5,4.74,7,7.2,0.09,0.65,5,65,2,1574,98,669,68,,0,0,0,7,,51-W4-28-45,2018-08-31,West Madison,6.70,4,28,45
52,0.8,5.16,7,7.3,0.1,0.4,10,49,3,816,97,344,67,,0,0,0,3,,52-W4-45-55,2018-08-31,West Madison,6.70,4,45,55
53,3.4,4.27,6.4,6.8,0.23,2.36,32,100,2,1656,77,448,34,,0,2.3,21,11,,53-W5-0-35,2018-08-16,West Madison,6.70,5,0,35
54,4.3,3.99,5.8,6.4,0.26,2.96,12,56,1,1524,50,392,21,,0,7.6,49,16,,54-W5-35-65,2018-08-16,West Madison,6.70,5,35,65
55,2.9,4.35,6,6.9,0.25,2.03,28,71,2,1752,88,517,43,,0,1,10,10,,55-W7-0-15,2018-08-16,West Madison,6.70,7,0,15
56,1.9,4.22,5.6,6.8,0.15,1.04,9,45,1,1365,73,444,39,,0,2.4,26,9,,56-W7-15-30,2018-08-16,West Madison,6.70,7,15,30
57,1.5,5.04,6.9,7.4,0.12,1.15,78,140,8,843,92,197,35,,0,0,0,4,,57-P1-0-30,2018-09-10,Peninsular,7.20,1,0,30
58,0.7,5.37,7.1,7.4,0.1,0.33,11,84,6,702,94,217,48,,0,0,0,3,,58-P1-30-45,2018-09-10,Peninsular,7.20,1,30,45
59,0.5,5.64,7,7.4,0.07,0.17,19,54,5,554,95,165,46,,0,0,0,2,,59-P1-45-55,2018-09-10,Peninsular,7.20,1,45,55
60,2.8,4.75,7.5,7.5,0.18,2.47,12,75,3,1411,97,334,38,,0,0,0,6,,60-P2-0-20,2018-09-10,Peninsular,7.20,2,0,20
61,1.2,5.11,7.6,7.5,0.11,3.31,14,45,2,1176,98,308,42,,0,0,0,5,,61-P2-20-45,2018-09-10,Peninsular,7.20,2,20,45
62,0.5,5.53,7.7,7.6,0.09,5.53,10,35,2,743,98,225,48,,0,0,0,3,,62-P2-45-55,2018-09-10,Peninsular,7.20,2,45,55
63,3.1,4.49,7.4,7.4,0.21,2.2,12,53,2,1433,98,359,40,,0,0,0,7,,63-P4-0-25,2018-09-10,Peninsular,7.20,4,0,25
64,1.9,4.63,7.5,7.4,0.12,1.56,12,45,2,1378,98,360,42,,0,0,0,6,,64-P4-25-35,2018-09-10,Peninsular,7.20,4,25,35
65,0.9,4.86,7.7,7.5,0.09,4.21,22,39,2,881,98,253,46,,0,0,0,4,,65-P4-35-50,2018-09-10,Peninsular,7.20,4,35,50
