,sensor [K-33 ICB],,
,CO2,,,
08/14/19 12:39:35.064,"260",,
08/14/19 12:40:05.064,"250",,
08/14/19 12:40:35.064,"280",,
08/14/19 12:41:05.064,"290",,
08/14/19 12:41:35.064,"280",,
08/14/19 12:42:05.064,"260",,
08/14/19 12:42:35.064,"310",,
08/14/19 12:43:05.064,"290",,
08/14/19 12:43:35.064,"260",,
08/14/19 12:44:05.064,"270",,
08/14/19 12:44:35.064,"280",,
08/14/19 12:45:05.064,"290",,
08/14/19 12:45:35.064,"260",,
08/14/19 12:46:05.064,"260",,
08/14/19 12:46:35.064,"280",,
08/14/19 12:47:05.064,"260",,
08/14/19 12:47:35.064,"270",,
08/14/19 12:48:05.064,"270",,
08/14/19 12:48:35.064,"260",,
08/14/19 12:49:05.064,"260",,
08/14/19 12:49:35.065,"270",,
08/14/19 12:50:05.064,"260",,
08/14/19 12:50:35.064,"280",,
08/14/19 12:51:05.064,"240",,
08/14/19 12:51:35.064,"240",,
08/14/19 12:52:05.064,"250",,
08/14/19 12:52:35.064,"260",,
08/14/19 12:53:05.064,"270",,
08/14/19 12:53:35.064,"270",,
08/14/19 12:54:05.064,"250",,
08/14/19 12:54:35.064,"270",,
08/14/19 12:55:05.064,"260",,
08/14/19 12:55:35.064,"270",,
08/14/19 12:56:05.064,"270",,
08/14/19 12:56:35.064,"270",,
08/14/19 12:57:05.064,"260",,
08/14/19 12:57:35.064,"260",,
08/14/19 12:58:05.064,"260",,
08/14/19 12:58:35.064,"250",,
08/14/19 12:58:35.064,"250",,
08/14/19 12:59:05.064,"260",,
08/14/19 12:59:35.065,"240",,
08/14/19 13:00:05.064,"230",,
08/14/19 13:00:35.064,"230",,
08/14/19 13:01:05.064,"190",,
08/14/19 13:01:35.064,"220",,
08/14/19 13:02:05.064,"260",,
08/14/19 13:02:35.064,"240",,
08/14/19 13:03:05.064,"250",,
08/14/19 13:03:35.064,"260",,
08/14/19 13:04:05.064,"240",,
08/14/19 13:04:35.064,"230",,
08/14/19 13:05:05.064,"230",,
08/14/19 13:05:35.064,"270",,
08/14/19 13:06:05.064,"290",,
08/14/19 13:06:35.064,"240",,
08/14/19 13:07:05.064,"270",,
08/14/19 13:07:35.064,"230",,
08/14/19 13:08:05.064,"260",,
08/14/19 13:08:35.064,"280",,
08/14/19 13:09:05.064,"270",,
08/14/19 13:09:35.064,"310",,
08/14/19 13:10:05.064,"280",,
08/14/19 13:10:35.064,"270",,
08/14/19 13:11:05.064,"290",,
08/14/19 13:11:35.064,"290",,
08/14/19 13:12:05.065,"300",,
08/14/19 13:12:35.064,"280",,
08/14/19 13:13:05.064,"280",,
08/14/19 13:13:35.064,"260",,
08/14/19 13:14:05.064,"270",,
08/14/19 13:14:35.064,"270",,
08/14/19 13:15:05.064,"270",,
08/14/19 13:15:35.064,"280",,
08/14/19 13:16:05.064,"290",,
08/14/19 13:16:35.064,"300",,
08/14/19 13:17:05.064,"300",,
08/14/19 13:17:35.064,"290",,
08/14/19 13:18:05.064,"300",,
08/14/19 13:18:35.064,"270",,
08/14/19 13:19:05.064,"290",,
08/14/19 13:19:35.064,"300",,
08/14/19 13:20:05.064,"300",,
08/14/19 13:20:35.064,"270",,
08/14/19 13:21:05.064,"260",,
08/14/19 13:21:35.064,"260",,
08/14/19 13:22:05.064,"270",,
08/14/19 13:22:35.064,"260",,
08/14/19 13:23:05.064,"250",,
08/14/19 13:23:35.064,"230",,
08/14/19 13:24:05.064,"240",,
08/14/19 13:24:05.064,"240",,
08/14/19 13:24:35.064,"250",,
08/14/19 13:25:05.064,"250",,
08/14/19 13:25:35.064,"240",,
08/14/19 13:26:05.064,"230",,
08/14/19 13:26:35.064,"250",,
08/14/19 13:27:05.064,"280",,
08/14/19 13:27:35.064,"270",,
08/14/19 13:28:05.064,"290",,
08/14/19 13:28:35.065,"280",,
08/14/19 13:29:05.064,"270",,
08/14/19 13:29:35.064,"280",,
08/14/19 13:30:05.064,"280",,
08/14/19 13:30:35.064,"280",,
08/14/19 13:31:05.064,"290",,
08/14/19 13:31:35.064,"280",,
08/14/19 13:32:05.064,"280",,
08/14/19 13:32:35.064,"280",,
08/14/19 13:33:05.064,"280",,
08/14/19 13:33:35.064,"280",,
08/14/19 13:34:05.064,"260",,
08/14/19 13:34:35.064,"270",,
08/14/19 13:35:05.064,"280",,
08/14/19 13:35:35.064,"260",,
08/14/19 13:36:05.064,"260",,
08/14/19 13:36:35.064,"250",,
08/14/19 13:37:05.064,"250",,
08/14/19 13:37:35.064,"250",,
08/14/19 13:38:05.064,"250",,
08/14/19 13:38:35.064,"250",,
08/14/19 13:39:05.064,"230",,
08/14/19 13:39:35.064,"260",,
08/14/19 13:40:05.064,"260",,
08/14/19 13:40:35.064,"260",,
08/14/19 13:41:05.064,"240",,
08/14/19 13:41:35.064,"260",,
08/14/19 13:42:05.064,"260",,
08/14/19 13:42:35.064,"260",,
08/14/19 13:43:05.064,"240",,
08/14/19 13:43:35.064,"260",,
08/14/19 13:44:05.064,"260",,
08/14/19 13:44:35.064,"260",,
08/14/19 13:45:05.064,"250",,
08/14/19 13:45:35.064,"230",,
08/14/19 13:46:05.064,"250",,
08/14/19 13:46:35.064,"230",,
08/14/19 13:47:05.064,"250",,
08/14/19 13:47:35.064,"240",,
08/14/19 13:48:05.064,"250",,
08/14/19 13:48:35.064,"260",,
08/14/19 13:49:05.064,"230",,
08/14/19 13:49:35.064,"230",,
08/14/19 13:49:35.064,"230",,
08/14/19 13:50:05.064,"300",,
08/14/19 13:50:35.064,"280",,
08/14/19 13:51:05.064,"280",,
08/14/19 13:51:35.064,"280",,
08/14/19 13:52:05.064,"290",,
08/14/19 13:52:35.064,"290",,
08/14/19 13:53:05.064,"300",,
08/14/19 13:53:35.064,"300",,
08/14/19 13:54:05.064,"290",,
08/14/19 13:54:35.064,"250",,
08/14/19 13:55:05.064,"240",,
08/14/19 13:55:35.064,"270",,
08/14/19 13:56:05.064,"280",,
08/14/19 13:56:35.064,"270",,
08/14/19 13:57:05.064,"280",,
08/14/19 13:57:35.064,"280",,
08/14/19 13:58:05.064,"280",,
08/14/19 13:58:35.064,"280",,
08/14/19 13:59:05.064,"290",,
08/14/19 13:59:35.064,"290",,
08/14/19 14:00:05.064,"290",,
08/14/19 14:00:35.064,"280",,
08/14/19 14:01:05.064,"240",,
08/14/19 14:01:35.064,"260",,
08/14/19 14:02:05.064,"260",,
08/14/19 14:02:35.064,"230",,
08/14/19 14:03:05.064,"300",,
08/14/19 14:03:35.064,"260",,
08/14/19 14:04:05.064,"270",,
08/14/19 14:04:35.064,"280",,
08/14/19 14:05:05.064,"290",,
08/14/19 14:05:35.064,"280",,
08/14/19 14:06:05.064,"300",,
08/14/19 14:06:35.064,"290",,
08/14/19 14:07:05.064,"290",,
08/14/19 14:07:35.064,"280",,
08/14/19 14:08:05.064,"270",,
08/14/19 14:08:35.064,"270",,
08/14/19 14:09:05.064,"260",,
08/14/19 14:09:35.064,"280",,
08/14/19 14:10:05.064,"290",,
08/14/19 14:10:35.064,"290",,
08/14/19 14:11:05.066,"290",,
08/14/19 14:11:35.064,"280",,
08/14/19 14:12:05.064,"300",,
08/14/19 14:12:35.064,"280",,
08/14/19 14:13:05.064,"290",,
08/14/19 14:13:35.064,"290",,
08/14/19 14:14:05.064,"280",,
08/14/19 14:14:35.064,"300",,
08/14/19 14:15:05.064,"290",,
08/14/19 14:15:05.064,"290",,
08/14/19 14:15:35.064,"280",,
08/14/19 14:16:05.064,"260",,
08/14/19 14:16:35.064,"260",,
08/14/19 14:17:05.064,"260",,
08/14/19 14:17:35.064,"260",,
08/14/19 14:18:05.064,"240",,
08/14/19 14:18:35.064,"260",,
08/14/19 14:19:05.064,"250",,
08/14/19 14:19:35.064,"250",,
08/14/19 14:20:05.064,"260",,
08/14/19 14:20:35.064,"290",,
08/14/19 14:21:05.064,"280",,
08/14/19 14:21:35.064,"270",,
08/14/19 14:22:05.064,"260",,
08/14/19 14:22:35.064,"260",,
08/14/19 14:23:05.064,"260",,
08/14/19 14:23:35.064,"260",,
08/14/19 14:24:05.064,"270",,
08/14/19 14:24:35.064,"290",,
08/14/19 14:25:05.064,"290",,
08/14/19 14:25:35.064,"280",,
08/14/19 14:26:05.064,"280",,
08/14/19 14:26:35.064,"280",,
08/14/19 14:27:05.064,"260",,
08/14/19 14:27:35.064,"280",,
08/14/19 14:28:05.064,"270",,
08/14/19 14:28:35.064,"260",,
08/14/19 14:29:05.064,"240",,
08/14/19 14:29:35.064,"260",,
08/14/19 14:30:05.064,"260",,
08/14/19 14:30:35.064,"230",,
08/14/19 14:31:05.064,"230",,
08/14/19 14:31:35.064,"270",,
08/14/19 14:32:05.064,"280",,
08/14/19 14:32:35.064,"290",,
08/14/19 14:33:05.064,"290",,
08/14/19 14:33:35.064,"270",,
08/14/19 14:34:05.064,"280",,
08/14/19 14:34:35.064,"280",,
08/14/19 14:35:05.064,"270",,
08/14/19 14:35:35.064,"260",,
08/14/19 14:36:05.064,"270",,
08/14/19 14:36:35.064,"240",,
08/14/19 14:37:05.064,"220",,
08/14/19 14:37:35.064,"240",,
08/14/19 14:38:05.064,"240",,
08/14/19 14:38:35.064,"260",,
08/14/19 14:39:05.064,"260",,
08/14/19 14:39:35.064,"250",,
08/14/19 14:40:05.064,"250",,
08/14/19 14:40:35.064,"240",,
08/14/19 14:40:35.064,"240",,
08/14/19 14:41:05.064,"220",,
08/14/19 14:41:35.065,"260",,
08/14/19 14:42:05.064,"260",,
08/14/19 14:42:35.064,"260",,
08/14/19 14:43:05.064,"240",,
08/14/19 14:43:35.064,"270",,
08/14/19 14:44:05.064,"250",,
08/14/19 14:44:35.064,"260",,
08/14/19 14:45:05.064,"270",,
08/14/19 14:45:35.064,"270",,
08/14/19 14:46:05.064,"260",,
08/14/19 14:46:35.064,"280",,
08/14/19 14:47:05.064,"280",,
08/14/19 14:47:35.064,"270",,
08/14/19 14:48:05.064,"270",,
08/14/19 14:48:35.064,"250",,
08/14/19 14:49:05.064,"260",,
08/14/19 14:49:35.064,"260",,
08/14/19 14:50:05.064,"230",,
08/14/19 14:50:35.064,"250",,
08/14/19 14:51:05.064,"250",,
08/14/19 14:51:35.064,"250",,
08/14/19 14:52:05.064,"260",,
08/14/19 14:52:35.064,"240",,
08/14/19 14:53:05.064,"280",,
08/14/19 14:53:35.064,"280",,
08/14/19 14:54:05.064,"250",,
08/14/19 14:54:35.064,"250",,
08/14/19 14:55:05.064,"280",,
08/14/19 14:55:35.064,"260",,
08/14/19 14:56:05.064,"280",,
08/14/19 14:56:35.064,"280",,
08/14/19 14:57:05.064,"310",,
08/14/19 14:57:35.064,"300",,
08/14/19 14:58:05.064,"300",,
08/14/19 14:58:35.064,"290",,
08/14/19 14:59:05.064,"290",,
08/14/19 14:59:35.064,"230",,
08/14/19 15:00:05.064,"240",,
08/14/19 15:00:35.064,"240",,
08/14/19 15:01:05.064,"240",,
08/14/19 15:01:35.064,"280",,
08/14/19 15:02:05.064,"290",,
08/14/19 15:02:35.064,"270",,
08/14/19 15:03:05.064,"250",,
08/14/19 15:03:35.064,"240",,
08/14/19 15:04:05.064,"230",,
08/14/19 15:04:35.064,"240",,
08/14/19 15:05:05.064,"240",,
08/14/19 15:05:35.064,"240",,
08/14/19 15:06:05.064,"250",,
08/14/19 15:06:05.064,"250",,
08/14/19 15:06:35.064,"270",,
08/14/19 15:07:05.064,"230",,
08/14/19 15:07:35.064,"270",,
08/14/19 15:08:05.064,"200",,
08/14/19 15:08:35.064,"200",,
08/14/19 15:09:05.064,"270",,
08/14/19 15:09:35.064,"260",,
08/14/19 15:10:05.064,"250",,
08/14/19 15:10:35.064,"290",,
08/14/19 15:11:05.064,"260",,
08/14/19 15:11:35.064,"260",,
08/14/19 15:12:05.064,"250",,
08/14/19 15:12:35.064,"240",,
08/14/19 15:13:05.064,"250",,
08/14/19 15:13:35.064,"260",,
08/14/19 15:14:05.064,"260",,
08/14/19 15:14:35.064,"280",,
08/14/19 15:15:05.064,"290",,
08/14/19 15:15:35.064,"280",,
08/14/19 15:16:05.065,"270",,
08/14/19 15:16:35.064,"280",,
08/14/19 15:17:05.064,"280",,
08/14/19 15:17:35.064,"280",,
