step.num,Step,date,solution,mV,pH,Sample.Index
1, after c1,2019-10-17,213,-116.3,9.174,213-SP-0-20
1, after c1,2019-10-17,214,-121.7,9.27,214-SP-0-20
1, after c1,2019-10-17,215,-120,9.24,215-SP-0-20
1, after c1,2019-10-17,216,-118.3,9.21,216-SP-0-20
1, after c1,2019-10-17,217,-127,9.364,217-SP-0-20
1, after c1,2019-10-17,218,-126.3,9.352,218-SP-0-20
1, after c1,2019-10-17,219,-119.5,9.231,219-SP-0-20
1, after c1,2019-10-17,220,-123.7,9.306,220-SP-0-20
1, after c1,2019-10-17,221,-127.5,9.373,221-SP-0-20
1, after c1,2019-10-17,222,-127,9.364,222-SP-0-20
1, after c1,2019-10-17,223,-126,9.347,223-SP-0-20
1, after c1,2019-10-17,224,-123.7,9.306,224-SP-0-20
1, after c1,2019-10-17,225,-128.5,9.391,225-SP-0-20
1, after c1,2019-10-17,226,-124.7,9.324,226-SP-0-20
1, after c1,2019-10-17,227,-126.3,9.352,227-SP-0-20
1, after c1,2019-10-17,228,-128.3,9.388,228-SP-0-20
1, after c1,2019-10-17,229,-114,9.133,229-SP-0-20
1, after c1,2019-10-17,230,-110.3,9.068,230-SP-0-20
1, after c1,2019-10-17,231,-116.5,9.178,231-SP-0-20
1, after c1,2019-10-17,232,-122.3,9.281,232-SP-0-20
1, after c1,2019-10-17,233,-120.3,9.245,233-SP-0-20
1, after c1,2019-10-17,234,-123.3,9.299,234-SP-0-20
1, after c1,2019-10-17,235,-124.7,9.324,235-SP-0-20
1, after c1,2019-10-17,236,-119.7,9.235,236-SP-0-20
1, after c1,2019-10-17,237,-116,9.169,237-SP-0-20
1, after c1,2019-10-17,238,-119.7,9.235,238-SP-0-20
1, after c1,2019-10-17,239,-109.5,9.053,239-SP-0-20
1, after c1,2019-10-17,240,-108.5,9.036,240-SP-0-20
,standard,2019-10-17,bead.beating,-104.3,8.961,bead.beating
,standard,2019-10-17,solution.c1,-160.5,9.96,solution.c1
,standard,2019-10-17,solution.c2,-12,7.32,solution.c2
,standard,2019-10-17,solution.c3,214,3.303,solution.c3
,standard,2019-10-17,solution.c4,27.5,6.618,solution.c4
,standard,2019-10-17,solution.c5,-36.5,7.756,solution.c5
,standard,2019-10-18,storage,166,4.156,storage
,standard,2019-10-18,pH.std.4,175.3,3.991,pH.std.4
,standard,2019-10-18,pH.std.7,3.5,7.045,pH.std.7
,standard,2019-10-18,pH.std.10,-168.3,10.099,pH.std.10
2, after c2,2019-10-18,1,-38,7.782,001-K1-0-17
2, after c2,2019-10-18,2,-50,7.996,002-K1-17-45
2, after c2,2019-10-18,3,-49,7.978,003-K1-45-60
2, after c2,2019-10-18,5,-34.3,7.717,005-K3-0-15
2, after c2,2019-10-18,6,-44.7,7.902,006-K3-15-35
2, after c2,2019-10-18,7,-46,7.925,007-K3-35-50
2, after c2,2019-10-18,8,-35.3,7.734,008-K4-0-15
2, after c2,2019-10-18,9,-44.5,7.898,009-K4-15-30
2, after c2,2019-10-18,10,-46.5,7.934,010-K4-30-50
2, after c2,2019-10-18,11,-44.5,7.898,011-R1-0-27
2, after c2,2019-10-18,12,-46.7,7.937,012-R1-27-50
2, after c2,2019-10-18,13,-48.7,7.973,013-R1-50-70
2, after c2,2019-10-18,14,-46.5,7.934,014-R2-0-30
2, after c2,2019-10-18,15,-52.5,8.04,015-R2-30-45
2, after c2,2019-10-18,16,-52,8.031,016-R2-45-60
2, after c2,2019-10-18,17,-49.5,7.987,017-R2-60-10
2, after c2,2019-10-18,18,-47.7,7.955,018-R3-0-20
2, after c2,2019-10-18,19,-47.5,7.951,019-R3-20-30
2, after c2,2019-10-18,20,-39.7,7.813,020-M1-0-31
2, after c2,2019-10-18,21,-43.7,7.884,021-M1-31-50
2, after c2,2019-10-18,22,-29.7,7.635,022-M1-50-70
2, after c2,2019-10-18,23,-35.3,7.734,023-M2-0-24
2, after c2,2019-10-18,24,-44.3,7.894,024-M2-24-38
2, after c2,2019-10-18,25,-38.7,7.795,025-M2-38-55
2, after c2,2019-10-18,26,-39,7.8,026-M3-0-15
2, after c2,2019-10-18,27,-37.5,7.774,027-M3-15-30
2, after c2,2019-10-18,30,-44.3,7.894,030-H1-0-30
2, after c2,2019-10-18,31,-53.7,8.062,031-H1-30-40
2, after c2,2019-10-18,32,-54.7,8.079,032-H1-40-60
2, after c2,2019-10-18,33,-46.7,7.937,033-H2-0-30
2, after c2,2019-10-18,34,-50,7.996,034-H2-30-60
2, after c2,2019-10-18,35,-38.7,7.795,035-A249-0-35
2, after c2,2019-10-18,36,-40.7,7.83,036-A249-35-60
2, after c2,2019-10-18,37,-34.5,7.72,037-A341-0-33
2, after c2,2019-10-18,38,-34.5,7.72,038-A341-33-55
2, after c2,2019-10-18,39,-34.3,7.717,039-A341-55-75
2, after c2,2019-10-18,40,-37.3,7.77,040-A341-75-85
2, after c2,2019-10-18,41,-42.3,7.859,041-L2-0-23
2, after c2,2019-10-18,42,-44.3,7.894,042-L2-23-45
2, after c2,2019-10-18,43,-39,7.8,043-L3-0-12
2, after c2,2019-10-18,44,-36,7.747,044-L3-12-20
2, after c2,2019-10-18,45,-36,7.747,045-L3-20-40
2, after c2,2019-10-18,46,-38.7,7.795,046-L4-0-10
2, after c2,2019-10-18,47,-40.7,7.83,047-L4-10-20
2, after c2,2019-10-18,48,-42.3,7.859,048-L4-20-40
2, after c2,2019-10-18,50,-36,7.747,050-W4-0-28
2, after c2,2019-10-18,51,-43,7.871,051-W4-28-45
2, after c2,2019-10-18,52,-36.5,7.756,052-W4-45-55
2, after c2,2019-10-18,53,-37.5,7.774,053-W5-0-35
2, after c2,2019-10-18,54,-32.5,7.685,054-W5-35-65
2, after c2,2019-10-18,55,-39.5,7.809,055-W7-0-15
2, after c2,2019-10-18,56,-39.5,7.809,056-W7-15-30
2, after c2,2019-10-18,57,-47.5,7.951,057-P1-0-30
2, after c2,2019-10-18,58,-46.3,7.93,058-P1-30-45
2, after c2,2019-10-18,59,-51.5,8.022,059-P1-45-55
2, after c2,2019-10-18,60,-45.7,7.919,060-P2-0-20
2, after c2,2019-10-18,61,-45.7,7.919,061-P2-20-45
2, after c2,2019-10-18,62,-50.5,8.005,062-P2-45-55
2, after c2,2019-10-18,63,-42.5,7.862,063-P4-0-25
2, after c2,2019-10-18,64,-43.5,7.88,064-P4-25-35
2, after c2,2019-10-18,65,-49.3,7.983,065-P4-35-50
2, after c2,2019-10-18,181,-45.5,7.916,181-SP-0-20
2, after c2,2019-10-18,182,-46.7,7.937,182-SP-0-20
2, after c2,2019-10-18,183,-48,7.96,183-SP-0-20
2, after c2,2019-10-18,184,-48.3,7.966,184-SP-0-20
2, after c2,2019-10-18,185,-46.7,7.937,185-SP-0-20
2, after c2,2019-10-18,186,-48.5,7.969,186-SP-0-20
2, after c2,2019-10-18,187,-49,7.978,187-SP-0-20
2, after c2,2019-10-18,188,-44.7,7.902,188-SP-0-20
2, after c2,2019-10-18,189,-44,7.889,189-SP-0-20
2, after c2,2019-10-18,190,-42.3,7.859,190-SP-0-20
2, after c2,2019-10-18,191,-43.3,7.877,191-SP-0-20
2, after c2,2019-10-18,192,-42.5,7.862,192-SP-0-20
2, after c2,2019-10-18,193,-41.7,7.848,193-SP-0-20
